what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455161359740
closed,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1455161359772
activated,view,org.python.pydev,4.4.0.201510052309,"org.python.pydev.navigator.view",1455161362196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455161374199
error,log,,,"Info: Rebuilding internal caches: S:\\Workspace\\Python Projects\\.metadata\\.plugins\\org.eclipse.core.resources\\.projects\\Twitteranalytics\\com.python.pydev.analysis\\AdditionalProjectInterpreterInfo.pydevinfo (Expected error to be provided and got no error!)",1455161396529
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455161396671
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1455161400064
started,bundle,org.python.pydev.customizations,4.4.0.201510052309,"org.python.pydev.customizations",1455161400313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455161436495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455161439156
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1455161452463
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1455161457522
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1455161457582
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1455161459250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455161459405
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455161461801
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1455161461812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455161470513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455161475225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455161593528
opened,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1455161599329
activated,editor,org.python.pydev,4.4.0.201510052309,"org.python.pydev.editor.PythonEditor",1455161599338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455161599364
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455161602388
